Sexo;País de nacimiento;Relación con la actividad;Periodo;Total
Mujeres;Guatemala;Ocupado/a;2021;2.905
Mujeres;Guatemala;Parado/a;2022;508
Mujeres;Guatemala;Parado/a;2021;676
Mujeres;Guatemala;Inactivo/a;2022;4.767
Mujeres;Guatemala;Inactivo/a;2021;4.740
Mujeres;Guinea;Total;2022;4.137
Mujeres;Guinea;Total;2021;4.086
Mujeres;Guinea;Ocupado/a;2022;1.443
Mujeres;Guinea;Ocupado/a;2021;1.208
Mujeres;Guinea;Parado/a;2022;591
Mujeres;Guinea;Parado/a;2021;846
Mujeres;Guinea;Inactivo/a;2022;2.103
Mujeres;Guinea;Inactivo/a;2021;2.032
Mujeres;Guinea Ecuatorial;Total;2022;13.296
Mujeres;Guinea Ecuatorial;Total;2021;13.046
Mujeres;Guinea Ecuatorial;Ocupado/a;2022;4.505
Mujeres;Guinea Ecuatorial;Ocupado/a;2021;3.817
Mujeres;Guinea Ecuatorial;Parado/a;2022;1.607
Mujeres;Guinea Ecuatorial;Parado/a;2021;2.159
Mujeres;Guinea Ecuatorial;Inactivo/a;2022;7.184
Mujeres;Guinea Ecuatorial;Inactivo/a;2021;7.070
Mujeres;Guinea-Bissau;Total;2022;1.511
Mujeres;Guinea-Bissau;Total;2021;1.467
Mujeres;Guinea-Bissau;Ocupado/a;2022;618
Mujeres;Guinea-Bissau;Ocupado/a;2021;518
Mujeres;Guinea-Bissau;Parado/a;2022;182
Mujeres;Guinea-Bissau;Parado/a;2021;254
Mujeres;Guinea-Bissau;Inactivo/a;2022;711
Mujeres;Guinea-Bissau;Inactivo/a;2021;695
Mujeres;Honduras;Total;2022;98.023
Mujeres;Honduras;Total;2021;92.904
Mujeres;Honduras;Ocupado/a;2022;37.644
Mujeres;Honduras;Ocupado/a;2021;30.390
Mujeres;Honduras;Parado/a;2022;3.804
Mujeres;Honduras;Parado/a;2021;5.078
Mujeres;Honduras;Inactivo/a;2022;56.575
Mujeres;Honduras;Inactivo/a;2021;57.436
Mujeres;Hungría;Total;2022;5.482
Mujeres;Hungría;Total;2021;5.396
Mujeres;Hungría;Ocupado/a;2022;2.255
Mujeres;Hungría;Ocupado/a;2021;1.995
Mujeres;Hungría;Parado/a;2022;462
Mujeres;Hungría;Parado/a;2021;712
Mujeres;Hungría;Inactivo/a;2022;2.765
Mujeres;Hungría;Inactivo/a;2021;2.689
Mujeres;India;Total;2022;19.611
Mujeres;India;Total;2021;18.737
Mujeres;India;Ocupado/a;2022;6.354
Mujeres;India;Ocupado/a;2021;5.328
Mujeres;India;Parado/a;2022;1.174
Mujeres;India;Parado/a;2021;1.701
Mujeres;India;Inactivo/a;2022;12.083
Mujeres;India;Inactivo/a;2021;11.708
Mujeres;Indonesia;Total;2022;1.249
Mujeres;Indonesia;Total;2021;1.163
Mujeres;Indonesia;Ocupado/a;2022;337
Mujeres;Indonesia;Ocupado/a;2021;283
Mujeres;Indonesia;Parado/a;2022;54
Mujeres;Indonesia;Parado/a;2021;84
Mujeres;Indonesia;Inactivo/a;2022;858
Mujeres;Indonesia;Inactivo/a;2021;796
Mujeres;Irán;Total;2022;4.609
Mujeres;Irán;Total;2021;4.268
Mujeres;Irán;Ocupado/a;2022;1.108
Mujeres;Irán;Ocupado/a;2021;976
Mujeres;Irán;Parado/a;2022;218
Mujeres;Irán;Parado/a;2021;267
Mujeres;Irán;Inactivo/a;2022;3.283
Mujeres;Irán;Inactivo/a;2021;3.025
Mujeres;Iraq;Total;2022;984
Mujeres;Iraq;Total;2021;915
Mujeres;Iraq;Ocupado/a;2022;189
Mujeres;Iraq;Ocupado/a;2021;171
Mujeres;Iraq;Parado/a;2022;111
Mujeres;Iraq;Parado/a;2021;137
Mujeres;Iraq;Inactivo/a;2022;684
Mujeres;Iraq;Inactivo/a;2021;607
Mujeres;Irlanda;Total;2022;7.471
Mujeres;Irlanda;Total;2021;6.600
Mujeres;Irlanda;Ocupado/a;2022;2.364
Mujeres;Irlanda;Ocupado/a;2021;2.098
Mujeres;Irlanda;Parado/a;2022;197
Mujeres;Irlanda;Parado/a;2021;299
Mujeres;Irlanda;Inactivo/a;2022;4.910
Mujeres;Irlanda;Inactivo/a;2021;4.203
Mujeres;Israel;Total;2022;1.308
Mujeres;Israel;Total;2021;1.250
Mujeres;Israel;Ocupado/a;2022;460
Mujeres;Israel;Ocupado/a;2021;416
Mujeres;Israel;Parado/a;2022;59
Mujeres;Israel;Parado/a;2021;77
Mujeres;Israel;Inactivo/a;2022;789
Mujeres;Israel;Inactivo/a;2021;757
Mujeres;Italia;Total;2022;56.702
Mujeres;Italia;Total;2021;55.469
Mujeres;Italia;Ocupado/a;2022;26.939
Mujeres;Italia;Ocupado/a;2021;23.969
Mujeres;Italia;Parado/a;2022;4.134
Mujeres;Italia;Parado/a;2021;6.571
Mujeres;Italia;Inactivo/a;2022;25.629
Mujeres;Italia;Inactivo/a;2021;24.929
Mujeres;Japón;Total;2022;3.969
Mujeres;Japón;Total;2021;4.009
Mujeres;Japón;Ocupado/a;2022;1.532
Mujeres;Japón;Ocupado/a;2021;1.459
Mujeres;Japón;Parado/a;2022;203
Mujeres;Japón;Parado/a;2021;262
Mujeres;Japón;Inactivo/a;2022;2.234
Mujeres;Japón;Inactivo/a;2021;2.288
Mujeres;Jordania;Total;2022;792
Mujeres;Jordania;Total;2021;734
Mujeres;Jordania;Ocupado/a;2022;177
Mujeres;Jordania;Ocupado/a;2021;157
Mujeres;Jordania;Parado/a;2022;71
Mujeres;Jordania;Parado/a;2021;98
Mujeres;Jordania;Inactivo/a;2022;544
Mujeres;Jordania;Inactivo/a;2021;479
Mujeres;Kazajstán;Total;2022;2.067
Mujeres;Kazajstán;Total;2021;1.776
Mujeres;Kazajstán;Ocupado/a;2022;449
Mujeres;Kazajstán;Ocupado/a;2021;372
Mujeres;Kazajstán;Parado/a;2022;107
Mujeres;Kazajstán;Parado/a;2021;137
Mujeres;Kazajstán;Inactivo/a;2022;1.511
Mujeres;Kazajstán;Inactivo/a;2021;1.267
Mujeres;Letonia;Total;2022;2.712
Mujeres;Letonia;Total;2021;2.551
Mujeres;Letonia;Ocupado/a;2022;1.124
Mujeres;Letonia;Ocupado/a;2021;1.018
Mujeres;Letonia;Parado/a;2022;277
Mujeres;Letonia;Parado/a;2021;370
Mujeres;Letonia;Inactivo/a;2022;1.311
Mujeres;Letonia;Inactivo/a;2021;1.163
Mujeres;Líbano;Total;2022;1.837
Mujeres;Líbano;Total;2021;1.616
Mujeres;Líbano;Ocupado/a;2022;520
Mujeres;Líbano;Ocupado/a;2021;433
Mujeres;Líbano;Parado/a;2022;104
Mujeres;Líbano;Parado/a;2021;126
Mujeres;Líbano;Inactivo/a;2022;1.213
Mujeres;Líbano;Inactivo/a;2021;1.057
Mujeres;Lituania;Total;2022;8.069
Mujeres;Lituania;Total;2021;8.087
Mujeres;Lituania;Ocupado/a;2022;4.011
Mujeres;Lituania;Ocupado/a;2021;3.752
Mujeres;Lituania;Parado/a;2022;1.100
Mujeres;Lituania;Parado/a;2021;1.451
Mujeres;Lituania;Inactivo/a;2022;2.958
Mujeres;Lituania;Inactivo/a;2021;2.884
Mujeres;Mali;Total;2022;2.990
Mujeres;Mali;Total;2021;2.857
Mujeres;Mali;Ocupado/a;2022;1.336
Mujeres;Mali;Ocupado/a;2021;1.096
Mujeres;Mali;Parado/a;2022;484
Mujeres;Mali;Parado/a;2021;620
Mujeres;Mali;Inactivo/a;2022;1.170
Mujeres;Mali;Inactivo/a;2021;1.141
Mujeres;Marruecos;Total;2022;377.951
Mujeres;Marruecos;Total;2021;370.560
Mujeres;Marruecos;Ocupado/a;2022;94.403
Mujeres;Marruecos;Ocupado/a;2021;82.791
Mujeres;Marruecos;Parado/a;2022;78.702
Mujeres;Marruecos;Parado/a;2021;95.957
Mujeres;Marruecos;Inactivo/a;2022;204.846
Mujeres;Marruecos;Inactivo/a;2021;191.812
Mujeres;Mauritania;Total;2022;2.321
Mujeres;Mauritania;Total;2021;2.127
Mujeres;Mauritania;Ocupado/a;2022;340
Mujeres;Mauritania;Ocupado/a;2021;283
Mujeres;Mauritania;Parado/a;2022;553
Mujeres;Mauritania;Parado/a;2021;678
Mujeres;Mauritania;Inactivo/a;2022;1.428
Mujeres;Mauritania;Inactivo/a;2021;1.166
Mujeres;México;Total;2022;35.769
Mujeres;México;Total;2021;33.861
Mujeres;México;Ocupado/a;2022;14.358
Mujeres;México;Ocupado/a;2021;12.749
Mujeres;México;Parado/a;2022;2.659
Mujeres;México;Parado/a;2021;3.430
Mujeres;México;Inactivo/a;2022;18.752
Mujeres;México;Inactivo/a;2021;17.682
Mujeres;Moldavia;Total;2022;11.223
Mujeres;Moldavia;Total;2021;11.008
Mujeres;Moldavia;Ocupado/a;2022;5.497
Mujeres;Moldavia;Ocupado/a;2021;5.109
Mujeres;Moldavia;Parado/a;2022;1.191
Mujeres;Moldavia;Parado/a;2021;1.589
Mujeres;Moldavia;Inactivo/a;2022;4.535
Mujeres;Moldavia;Inactivo/a;2021;4.310
Mujeres;Nepal;Total;2022;2.433
Mujeres;Nepal;Total;2021;2.324
Mujeres;Nepal;Ocupado/a;2022;1.109
Mujeres;Nepal;Ocupado/a;2021;870
Mujeres;Nepal;Parado/a;2022;189
Mujeres;Nepal;Parado/a;2021;245
Mujeres;Nepal;Inactivo/a;2022;1.135
Mujeres;Nepal;Inactivo/a;2021;1.209
Mujeres;Nicaragua;Total;2022;46.330
Mujeres;Nicaragua;Total;2021;45.957
Mujeres;Nicaragua;Ocupado/a;2022;19.099
Mujeres;Nicaragua;Ocupado/a;2021;16.436
Mujeres;Nicaragua;Parado/a;2022;1.964
Mujeres;Nicaragua;Parado/a;2021;2.611
Mujeres;Nicaragua;Inactivo/a;2022;25.267
Mujeres;Nicaragua;Inactivo/a;2021;26.910
Mujeres;Nigeria;Total;2022;13.225
Mujeres;Nigeria;Total;2021;13.383
Mujeres;Nigeria;Ocupado/a;2022;3.931
Mujeres;Nigeria;Ocupado/a;2021;3.152
Mujeres;Nigeria;Parado/a;2022;3.127
Mujeres;Nigeria;Parado/a;2021;4.116
Mujeres;Nigeria;Inactivo/a;2022;6.167
Mujeres;Nigeria;Inactivo/a;2021;6.115
Mujeres;Noruega;Total;2022;5.055
Mujeres;Noruega;Total;2021;4.834
Mujeres;Noruega;Ocupado/a;2022;953
Mujeres;Noruega;Ocupado/a;2021;864
Mujeres;Noruega;Parado/a;2022;73
Mujeres;Noruega;Parado/a;2021;113
Mujeres;Noruega;Inactivo/a;2022;4.029
Mujeres;Noruega;Inactivo/a;2021;3.857
Mujeres;Países Bajos;Total;2022;23.118
Mujeres;Países Bajos;Total;2021;21.590
Mujeres;Países Bajos;Ocupado/a;2022;7.624
Mujeres;Países Bajos;Ocupado/a;2021;6.984
Mujeres;Países Bajos;Parado/a;2022;928
Mujeres;Países Bajos;Parado/a;2021;1.280
Mujeres;Países Bajos;Inactivo/a;2022;14.566
Mujeres;Países Bajos;Inactivo/a;2021;13.326
Mujeres;Pakistán;Total;2022;24.790
Mujeres;Pakistán;Total;2021;22.716
Mujeres;Pakistán;Ocupado/a;2022;3.294
Mujeres;Pakistán;Ocupado/a;2021;2.887
Mujeres;Pakistán;Parado/a;2022;2.127
Mujeres;Pakistán;Parado/a;2021;2.683
Mujeres;Pakistán;Inactivo/a;2022;19.369
Mujeres;Pakistán;Inactivo/a;2021;17.146
Mujeres;Panamá;Total;2022;3.364
Mujeres;Panamá;Total;2021;3.170
Mujeres;Panamá;Ocupado/a;2022;1.226
Mujeres;Panamá;Ocupado/a;2021;1.086
Mujeres;Panamá;Parado/a;2022;301
Mujeres;Panamá;Parado/a;2021;366
Mujeres;Panamá;Inactivo/a;2022;1.837
Mujeres;Panamá;Inactivo/a;2021;1.718
Mujeres;Paraguay;Total;2022;72.381
Mujeres;Paraguay;Total;2021;70.867
Mujeres;Paraguay;Ocupado/a;2022;36.245
Mujeres;Paraguay;Ocupado/a;2021;33.279
Mujeres;Paraguay;Parado/a;2022;5.342
Mujeres;Paraguay;Parado/a;2021;7.438
Mujeres;Paraguay;Inactivo/a;2022;30.794
Mujeres;Paraguay;Inactivo/a;2021;30.150
Mujeres;Perú;Total;2022;140.888
Mujeres;Perú;Total;2021;133.312
Mujeres;Perú;Ocupado/a;2022;68.049
Mujeres;Perú;Ocupado/a;2021;61.360
Mujeres;Perú;Parado/a;2022;11.612
Mujeres;Perú;Parado/a;2021;15.130
Mujeres;Perú;Inactivo/a;2022;61.227
Mujeres;Perú;Inactivo/a;2021;56.822
Mujeres;Polonia;Total;2022;29.204
Mujeres;Polonia;Total;2021;29.136
Mujeres;Polonia;Ocupado/a;2022;15.367
Mujeres;Polonia;Ocupado/a;2021;14.558
Mujeres;Polonia;Parado/a;2022;3.236
Mujeres;Polonia;Parado/a;2021;4.249
Mujeres;Polonia;Inactivo/a;2022;10.601
Mujeres;Polonia;Inactivo/a;2021;10.329
Mujeres;Portugal;Total;2022;41.466
Mujeres;Portugal;Total;2021;41.405
Mujeres;Portugal;Ocupado/a;2022;16.503
Mujeres;Portugal;Ocupado/a;2021;15.396
Mujeres;Portugal;Parado/a;2022;4.227
Mujeres;Portugal;Parado/a;2021;5.588
Mujeres;Portugal;Inactivo/a;2022;20.736
Mujeres;Portugal;Inactivo/a;2021;20.421
Mujeres;Reino Unido;Total;2022;137.770
Mujeres;Reino Unido;Total;2021;135.112
Mujeres;Reino Unido;Ocupado/a;2022;32.533
Mujeres;Reino Unido;Ocupado/a;2021;31.279
Mujeres;Reino Unido;Parado/a;2022;3.763
Mujeres;Reino Unido;Parado/a;2021;5.177
Mujeres;Reino Unido;Inactivo/a;2022;101.474
Mujeres;Reino Unido;Inactivo/a;2021;98.656
Mujeres;República Checa;Total;2022;4.519
Mujeres;República Checa;Total;2021;4.554
Mujeres;República Checa;Ocupado/a;2022;2.043
Mujeres;República Checa;Ocupado/a;2021;1.875
Mujeres;República Checa;Parado/a;2022;494
Mujeres;República Checa;Parado/a;2021;725
Mujeres;República Checa;Inactivo/a;2022;1.982
Mujeres;República Checa;Inactivo/a;2021;1.954
Mujeres;República Dominicana;Total;2022;107.136
Mujeres;República Dominicana;Total;2021;105.862
Mujeres;República Dominicana;Ocupado/a;2022;50.345
Mujeres;República Dominicana;Ocupado/a;2021;44.814
Mujeres;República Dominicana;Parado/a;2022;14.435
Mujeres;República Dominicana;Parado/a;2021;20.654
Mujeres;República Dominicana;Inactivo/a;2022;42.356
Mujeres;República Dominicana;Inactivo/a;2021;40.394
Mujeres;República Eslovaca;Total;2022;3.476
Mujeres;República Eslovaca;Total;2021;3.469
Mujeres;República Eslovaca;Ocupado/a;2022;1.753
Mujeres;República Eslovaca;Ocupado/a;2021;1.613
Mujeres;República Eslovaca;Parado/a;2022;429
Mujeres;República Eslovaca;Parado/a;2021;575
Mujeres;República Eslovaca;Inactivo/a;2022;1.294
Mujeres;República Eslovaca;Inactivo/a;2021;1.281
Mujeres;Rumanía;Total;2022;277.156
Mujeres;Rumanía;Total;2021;284.414
Mujeres;Rumanía;Ocupado/a;2022;139.287
Mujeres;Rumanía;Ocupado/a;2021;133.782
Mujeres;Rumanía;Parado/a;2022;42.612
Mujeres;Rumanía;Parado/a;2021;53.643
Mujeres;Rumanía;Inactivo/a;2022;95.257
Mujeres;Rumanía;Inactivo/a;2021;96.989
Mujeres;Rusia;Total;2022;59.785
Mujeres;Rusia;Total;2021;57.549
Mujeres;Rusia;Ocupado/a;2022;19.387
Mujeres;Rusia;Ocupado/a;2021;17.494
Mujeres;Rusia;Parado/a;2022;6.151
Mujeres;Rusia;Parado/a;2021;7.977
Mujeres;Rusia;Inactivo/a;2022;34.247
Mujeres;Rusia;Inactivo/a;2021;32.078
Mujeres;Senegal;Total;2022;15.032
Mujeres;Senegal;Total;2021;14.364
Mujeres;Senegal;Ocupado/a;2022;5.641
Mujeres;Senegal;Ocupado/a;2021;4.562
Mujeres;Senegal;Parado/a;2022;2.555
Mujeres;Senegal;Parado/a;2021;3.446
Mujeres;Senegal;Inactivo/a;2022;6.836
Mujeres;Senegal;Inactivo/a;2021;6.356
Mujeres;Serbia;Total;2022;2.899
Mujeres;Serbia;Total;2021;2.848
Mujeres;Serbia;Ocupado/a;2022;1.162
Mujeres;Serbia;Ocupado/a;2021;1.069
Mujeres;Serbia;Parado/a;2022;190
Mujeres;Serbia;Parado/a;2021;277
Mujeres;Serbia;Inactivo/a;2022;1.547
Mujeres;Serbia;Inactivo/a;2021;1.502
Mujeres;Siria;Total;2022;3.497
Mujeres;Siria;Total;2021;3.366
Mujeres;Siria;Ocupado/a;2022;613
Mujeres;Siria;Ocupado/a;2021;515
Mujeres;Siria;Parado/a;2022;752
Mujeres;Siria;Parado/a;2021;871
Mujeres;Siria;Inactivo/a;2022;2.132
Mujeres;Siria;Inactivo/a;2021;1.980
Mujeres;Sudáfrica;Total;2022;1.784
Mujeres;Sudáfrica;Total;2021;1.721
Mujeres;Sudáfrica;Ocupado/a;2022;661
Mujeres;Sudáfrica;Ocupado/a;2021;604
Mujeres;Sudáfrica;Parado/a;2022;77
Mujeres;Sudáfrica;Parado/a;2021;110
Mujeres;Sudáfrica;Inactivo/a;2022;1.046
Mujeres;Sudáfrica;Inactivo/a;2021;1.007
Mujeres;Suecia;Total;2022;9.912
Mujeres;Suecia;Total;2021;9.277
Mujeres;Suecia;Ocupado/a;2022;3.154
Mujeres;Suecia;Ocupado/a;2021;2.900
Mujeres;Suecia;Parado/a;2022;274
Mujeres;Suecia;Parado/a;2021;420
Mujeres;Suecia;Inactivo/a;2022;6.484
Mujeres;Suecia;Inactivo/a;2021;5.957
Mujeres;Suiza;Total;2022;28.509
Mujeres;Suiza;Total;2021;28.015
Mujeres;Suiza;Ocupado/a;2022;15.697
Mujeres;Suiza;Ocupado/a;2021;15.106
Mujeres;Suiza;Parado/a;2022;2.567
Mujeres;Suiza;Parado/a;2021;3.072
Mujeres;Suiza;Inactivo/a;2022;10.245
Mujeres;Suiza;Inactivo/a;2021;9.837
Mujeres;Tailandia;Total;2022;2.222
Mujeres;Tailandia;Total;2021;2.066
Mujeres;Tailandia;Ocupado/a;2022;838
Mujeres;Tailandia;Ocupado/a;2021;721
Mujeres;Tailandia;Parado/a;2022;110
Mujeres;Tailandia;Parado/a;2021;162
Mujeres;Tailandia;Inactivo/a;2022;1.274
Mujeres;Tailandia;Inactivo/a;2021;1.183
Mujeres;Túnez;Total;2022;1.368
Mujeres;Túnez;Total;2021;1.266
Mujeres;Túnez;Ocupado/a;2022;408
Mujeres;Túnez;Ocupado/a;2021;340
Mujeres;Túnez;Parado/a;2022;116
Mujeres;Túnez;Parado/a;2021;148
Mujeres;Túnez;Inactivo/a;2022;844
Mujeres;Túnez;Inactivo/a;2021;778
Mujeres;Turquía;Total;2022;2.606
Mujeres;Turquía;Total;2021;2.431
Mujeres;Turquía;Ocupado/a;2022;1.010
Mujeres;Turquía;Ocupado/a;2021;852
Mujeres;Turquía;Parado/a;2022;105
Mujeres;Turquía;Parado/a;2021;153
Mujeres;Turquía;Inactivo/a;2022;1.491
Mujeres;Turquía;Inactivo/a;2021;1.426
Mujeres;Ucrania;Total;2022;62.196
Mujeres;Ucrania;Total;2021;61.070
Mujeres;Ucrania;Ocupado/a;2022;28.633
Mujeres;Ucrania;Ocupado/a;2021;26.872
Mujeres;Ucrania;Parado/a;2022;6.466
Mujeres;Ucrania;Parado/a;2021;8.224
Mujeres;Ucrania;Inactivo/a;2022;27.097
Mujeres;Ucrania;Inactivo/a;2021;25.974
Mujeres;Uruguay;Total;2022;40.485
Mujeres;Uruguay;Total;2021;40.055
Mujeres;Uruguay;Ocupado/a;2022;18.655
Mujeres;Uruguay;Ocupado/a;2021;17.004
Mujeres;Uruguay;Parado/a;2022;4.300
Mujeres;Uruguay;Parado/a;2021;5.737
Mujeres;Uruguay;Inactivo/a;2022;17.530
Mujeres;Uruguay;Inactivo/a;2021;17.314
Mujeres;Venezuela;Total;2022;219.170
Mujeres;Venezuela;Total;2021;203.544
Mujeres;Venezuela;Ocupado/a;2022;112.827
Mujeres;Venezuela;Ocupado/a;2021;93.727
Mujeres;Venezuela;Parado/a;2022;22.155
Mujeres;Venezuela;Parado/a;2021;29.113
Mujeres;Venezuela;Inactivo/a;2022;84.188
Mujeres;Venezuela;Inactivo/a;2021;80.704
Mujeres;Vietnam;Total;2022;1.555
Mujeres;Vietnam;Total;2021;1.527
Mujeres;Vietnam;Ocupado/a;2022;663
Mujeres;Vietnam;Ocupado/a;2021;550
Mujeres;Vietnam;Parado/a;2022;54
Mujeres;Vietnam;Parado/a;2021;72
Mujeres;Vietnam;Inactivo/a;2022;838
Mujeres;Vietnam;Inactivo/a;2021;905
Mujeres;Otros países de Europa;Total;2022;7.507
Mujeres;Otros países de Europa;Total;2021;7.296
Mujeres;Otros países de Europa;Ocupado/a;2022;3.519
Mujeres;Otros países de Europa;Ocupado/a;2021;3.194
Mujeres;Otros países de Europa;Parado/a;2022;555
Mujeres;Otros países de Europa;Parado/a;2021;772
Mujeres;Otros países de Europa;Inactivo/a;2022;3.433
Mujeres;Otros países de Europa;Inactivo/a;2021;3.330
Mujeres;Otros países de África;Total;2022;8.754
Mujeres;Otros países de África;Total;2021;8.526
Mujeres;Otros países de África;Ocupado/a;2022;2.960
Mujeres;Otros países de África;Ocupado/a;2021;2.635
Mujeres;Otros países de África;Parado/a;2022;1.117
Mujeres;Otros países de África;Parado/a;2021;1.422
Mujeres;Otros países de África;Inactivo/a;2022;4.677
Mujeres;Otros países de África;Inactivo/a;2021;4.469
Mujeres;Otros países de América;Total;2022;2.382
Mujeres;Otros países de América;Total;2021;2.262
Mujeres;Otros países de América;Ocupado/a;2022;895
Mujeres;Otros países de América;Ocupado/a;2021;784
Mujeres;Otros países de América;Parado/a;2022;225
Mujeres;Otros países de América;Parado/a;2021;333
Mujeres;Otros países de América;Inactivo/a;2022;1.262
Mujeres;Otros países de América;Inactivo/a;2021;1.145
Mujeres;Otros países de Asia;Total;2022;6.132
Mujeres;Otros países de Asia;Total;2021;5.367
Mujeres;Otros países de Asia;Ocupado/a;2022;1.682
Mujeres;Otros países de Asia;Ocupado/a;2021;1.508
Mujeres;Otros países de Asia;Parado/a;2022;465
Mujeres;Otros países de Asia;Parado/a;2021;584
Mujeres;Otros países de Asia;Inactivo/a;2022;3.985
Mujeres;Otros países de Asia;Inactivo/a;2021;3.275
Mujeres;Otros países de Oceanía;Total;2022;756
Mujeres;Otros países de Oceanía;Total;2021;776
Mujeres;Otros países de Oceanía;Ocupado/a;2022;303
Mujeres;Otros países de Oceanía;Ocupado/a;2021;281
Mujeres;Otros países de Oceanía;Parado/a;2022;45
Mujeres;Otros países de Oceanía;Parado/a;2021;52
Mujeres;Otros países de Oceanía;Inactivo/a;2022;408
Mujeres;Otros países de Oceanía;Inactivo/a;2021;443
